Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
33;19400158483;"Social Issues and Policy Review";journal;"17512409, 17512395";"Wiley-Blackwell Publishing Ltd";No;No;2,407;Q1;53;9;23;1471;213;23;6,73;163,44;57,14;1;6;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2008-2025";"Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
34;16306;"New Media and Society";journal;"14614448, 14617315";"SAGE Publications Ltd";No;No;2,400;Q1;160;558;560;35511;4964;550;8,02;63,64;54,06;53;168;United Kingdom;Western Europe;"SAGE Publications Ltd";"1999-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
35;15821;"Journal of Policy Analysis and Management";journal;"02768739, 15206688";"Wiley-Liss Inc.";No;No;2,398;Q1;106;91;193;4724;468;129;2,28;51,91;37,21;16;47;United States;Northern America;"Wiley-Liss Inc.";"1981-2025";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
36;110031;"Resources Policy";journal;"03014207";"Elsevier Ltd";No;No;2,381;Q1;138;936;2243;61487;28215;2243;12,43;65,69;36,30;9;816;United Kingdom;Western Europe;"Elsevier Ltd";"1974-2025";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
37;25835;"International Security";journal;"15314804, 01622889";"";No;No;2,371;Q1;128;14;62;650;370;51;5,59;46,43;18,75;1;1;United States;Northern America;"";"1984, 1996-2024";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
38;35048;"Food Policy";journal;"03069192";"Elsevier B.V.";No;No;2,335;Q1;145;129;392;7811;3223;391;6,92;60,55;46,57;8;91;United Kingdom;Western Europe;"Elsevier B.V.";"1975-2025";"Development (Q1); Economics and Econometrics (Q1); Food Science (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Economics, Econometrics and Finance; Environmental Science; Social Sciences"
39;14925;"Gender and Society";journal;"08912432, 15523977";"SAGE Publications Inc.";No;No;2,272;Q1;132;35;106;2071;778;101;4,21;59,17;70,00;0;22;United States;Northern America;"SAGE Publications Inc.";"1987-2025";"Arts and Humanities (miscellaneous) (Q1); Gender Studies (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
40;17162;"Public Administration";journal;"14679299, 00333298";"Wiley-Blackwell Publishing Ltd";No;No;2,255;Q1;118;122;198;9374;1587;195;7,90;76,84;35,00;18;51;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1923-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
41;67863;"Party Politics";journal;"13540688, 14603683";"SAGE Publications Ltd";No;No;2,186;Q1;92;150;294;8328;1404;294;4,07;55,52;28,46;11;32;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2025";"Sociology and Political Science (Q1)";"Social Sciences"
42;17560;"Social Problems";journal;"15338533, 00377791";"Oxford University Press";No;No;2,177;Q1;117;62;188;4723;971;185;4,39;76,18;54,95;5;38;United States;Northern America;"Oxford University Press";"1973, 1975, 1977-1979, 1982, 1984, 1989-1990, 1993, 1995-2025";"Sociology and Political Science (Q1)";"Social Sciences"
43;22838;"Political Communication";journal;"10584609, 10917675";"Taylor and Francis Ltd.";No;No;2,173;Q1;114;73;122;4130;834;114;7,03;56,58;35,47;3;25;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
44;30060;"World Development";journal;"0305750X, 18735991";"Elsevier B.V.";No;No;2,161;Q1;233;292;940;23080;6952;920;5,72;79,04;36,29;56;258;United Kingdom;Western Europe;"Elsevier B.V.";"1973-2025";"Development (Q1); Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
45;18400156711;"Cambridge Journal of Regions, Economy and Society";journal;"17521386, 17521378";"Oxford University Press";No;No;2,144;Q1;78;48;119;3292;698;103;5,19;68,58;45,13;12;31;United Kingdom;Western Europe;"Oxford University Press";"2008-2025";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
46;27663;"Journal of Conflict Resolution";journal;"00220027";"SAGE Publications Inc.";No;No;2,138;Q1;131;123;207;8733;812;206;3,16;71,00;26,86;11;57;United States;Northern America;"SAGE Publications Inc.";"1957-2025";"Business, Management and Accounting (miscellaneous) (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
47;28094;"Accounting, Organizations and Society";journal;"03613682";"Elsevier Ltd";No;No;2,118;Q1;164;49;103;4585;560;101;4,67;93,57;40,83;2;15;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2025";"Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Decision Sciences; Psychology; Social Sciences"
48;19251;"Work, Employment and Society";journal;"14698722, 09500170";"SAGE Publications Ltd";No;No;2,115;Q1;104;115;217;7118;1284;215;5,59;61,90;55,02;12;66;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-2025";"Accounting (Q1); Economics and Econometrics (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
49;17493;"Internet Research";journal;"10662243";"Emerald Group Publishing Ltd.";No;No;2,110;Q1;118;174;267;16665;2829;261;9,16;95,78;36,96;0;22;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1991-2025";"Communication (Q1); Economics and Econometrics (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
50;19089;"Government and Opposition";journal;"0017257X, 14777053";"Cambridge University Press";No;No;2,084;Q1;68;82;118;5473;610;118;5,09;66,74;39,86;12;24;United Kingdom;Western Europe;"Cambridge University Press";"1965-2025";"Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
