Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
28;5600154403;"Australian Social Work";journal;"0312407X, 14470748";"Taylor and Francis Ltd.";No;No;0,607;Q2;44;67;142;2339;299;118;2,02;34,91;76,42;0;36;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1971-2004, 2006-2025";"Social Sciences (miscellaneous) (Q1); Health (social science) (Q2); Social Work (Q2); Sociology and Political Science (Q2)";"Social Sciences"
29;4700152404;"Journal of Ethnic and Cultural Diversity in Social Work";journal;"15313204";"Routledge";No;No;0,606;Q3;40;61;98;2845;220;97;2,06;46,64;74,05;2;30;United States;Northern America;"Routledge";"2000-2025";"Education (Q2); Health (social science) (Q2); Social Work (Q3)";"Social Sciences"
30;12308;"Journal of Social Work Education";journal;"10437797, 21635811";"Taylor and Francis Ltd.";No;No;0,560;Q3;68;66;271;2960;564;246;1,78;44,85;75,00;0;22;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2025";"Education (Q2); Social Sciences (miscellaneous) (Q2); Social Work (Q3)";"Social Sciences"
31;11600153420;"Social Work in Public Health";journal;"1937190X, 19371918";"Routledge";No;No;0,549;Q3;42;70;163;3516;316;163;1,75;50,23;62,90;0;40;United States;Northern America;"Routledge";"2007-2025";"Health Policy (Q2); Health (social science) (Q2); Public Health, Environmental and Occupational Health (Q2); Social Work (Q3)";"Medicine; Social Sciences"
32;29840;"International Social Work";journal;"00208728, 14617234";"SAGE Publications Ltd";No;No;0,542;Q3;56;137;314;5300;680;290;1,86;38,69;60,86;1;58;United Kingdom;Western Europe;"SAGE Publications Ltd";"1959-2025";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Work (Q3)";"Social Sciences"
33;12309;"Journal of Social Work Practice";journal;"14653885, 02650533";"Routledge";No;No;0,520;Q3;38;41;106;1674;203;94;1,71;40,83;73,42;0;17;United Kingdom;Western Europe;"Routledge";"1983-2025";"Drug Guides (Q1); Health (social science) (Q2); Social Sciences (miscellaneous) (Q2); Social Work (Q3)";"Medicine; Social Sciences"
34;29908;"Families in Society";journal;"10443894";"Families International Inc";No;No;0,518;Q3;56;120;140;6684;226;128;1,21;55,70;73,63;2;61;United States;Northern America;"Families International Inc";"1993, 1996-2025";"Social Sciences (miscellaneous) (Q2); Social Work (Q3)";"Social Sciences"
35;29553;"Journal of Gerontological Social Work";journal;"15404048, 01634372";"Routledge";No;No;0,518;Q3;53;85;224;4025;310;184;1,35;47,35;62,45;0;25;United States;Northern America;"Routledge";"1979-2025";"Nursing (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Social Work (Q3)";"Nursing; Social Sciences"
36;29831;"International Journal of Social Welfare";journal;"14682397, 13696866";"Wiley-Blackwell Publishing Ltd";No;No;0,512;Q3;61;78;126;4919;259;113;1,71;63,06;59,19;6;49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2025";"Sociology and Political Science (Q2); Social Work (Q3)";"Social Sciences"
37;145675;"Social Work in Mental Health";journal;"15332985, 15332993";"Routledge";No;No;0,491;Q3;30;61;121;3209;190;121;1,16;52,61;67,68;0;26;United States;Northern America;"Routledge";"2002-2025";"Social Sciences (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q3); Social Work (Q3)";"Medicine; Social Sciences"
38;12283;"Journal of Social Service Research";journal;"01488376, 15407314";"Routledge";No;No;0,474;Q3;47;99;186;5127;347;185;1,40;51,79;58,10;0;54;United States;Northern America;"Routledge";"1978-2025";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Work (Q3)";"Social Sciences"
39;15016;"Social Work Research";journal;"15456838, 10705309";"Oxford University Press";No;No;0,454;Q3;62;25;81;949;137;72;1,88;37,96;50,88;1;9;United Kingdom;Western Europe;"Oxford University Press";"1994-2024";"Sociology and Political Science (Q2); Social Work (Q3)";"Social Sciences"
40;4700152787;"Journal of Social Work in End-of-Life and Palliative Care";journal;"15524256, 15524264";"Routledge";No;No;0,446;Q3;31;37;116;845;90;62;0,72;22,84;74,60;0;8;United States;Northern America;"Routledge";"2005-2025";"Health (social science) (Q2); Life-span and Life-course Studies (Q3); Medicine (miscellaneous) (Q3); Social Work (Q3)";"Medicine; Social Sciences"
41;19500157802;"Asian Social Work and Policy Review";journal;"17531403, 17531411";"Wiley-Blackwell Publishing Ltd";No;No;0,417;Q3;21;32;71;1491;112;70;1,30;46,59;61,76;0;20;Australia;Pacific Region;"Wiley-Blackwell Publishing Ltd";"2008-2025";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Work (Q3)";"Social Sciences"
42;15035;"Social Work with Groups";journal;"01609513, 15409481";"Routledge";No;No;0,409;Q4;27;32;102;1054;125;93;1,54;32,94;64,06;1;12;United States;Northern America;"Routledge";"1978-2025";"Education (Q2); Social Sciences (miscellaneous) (Q2); Social Work (Q4)";"Social Sciences"
43;14543;"Smith College Studies in Social Work";journal;"15530426, 00377317";"Routledge";No;No;0,402;Q4;26;0;55;0;78;52;1,08;0,00;0,00;0;0;United States;Northern America;"Routledge";"1930-2023";"Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Work (Q4)";"Social Sciences"
