folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
12762;"Redes. Revista hispana para el análisis de redes sociales";"Universidad Autónoma de Barcelona, Departamento de Antropología Social";1;1;4480;España;1579-0185;;;"Antropología, Sociología"
23401;Rehuso;"Universidad Técnica de Manabí.";1;1;9795;Ecuador;2550-6587;2550-6587;;"Antropología, Arte, Bibliotecología, Ciencias de la información, Filosofía, Sociología"
12820;Relaciones;"Periódica S.R.L.";1;;;Uruguay;1688-0412;0797-9754;;"Antropología, Psicología, Psiquiatría, Sociología"
12819;"Relaciones - Sociedad Argentina de Antropología";"Sociedad Argentina de Antropología";0;0;4499;Argentina;;0325-2221;0325-2221;Antropología
19618;"Relaciones (Sociedad Argentina de Antropología)";"Universidad Nacional de La Plata";1;1;7465;Argentina;1852-1479;0325-2221;;"Antropología, Arqueología, Etnología"
23366;"Religación: Revista de Ciencias Sociales y Humanidades";"RELIGACIÓN CICSH-AL. Centro de Investigaciones en Ciencias Sociales y Humanidades desde América Latina";1;1;9776;Ecuador;2477-9083;;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Educación, Sociología, Humanidades"
28787;"Religiones latinoamericanas";"Asociación Latinoamericana para el Estudio de las Religiones A. C.";1;;;México;;0188-4050;0188-4050;"Antropología, Ciencias sociales y humanidades, Cultura, Multidisciplinarias, Religión, Estudios latinoamericanos"
22936;"REVICSO - Revista de Investigación en Ciencias Sociales";"Ediciones y Artes S.A.";0;0;9547;Paraguay;;;2409-1189;"Antropología, Educación, Geografía, Sociología"
28826;"Revista académica seguridad y estrategia";"Instituto Nacional de Estudios Estratégicos en Seguridad (INEES)";1;1;11521;Guatemala;2790-1475;2790-1475;;"Antropología, Derecho penal, Defensa y seguridad, Criminología"
27760;"Revista Alteridade";"Universidade Estadual de Montes Claros - UNIMONTES";1;;;Brasil;2526-3749;2237-9479;2237-9479;"Antropología, Ciencia política y administración pública, Sociología"
29935;"Revista Amazonía Viva y Gestión sostenible";"Universidad Nacional Amazónica de Madre de Dios";1;1;11889;Perú;3084-7478;3084-7478;;"Administración, Antropología, Ciencias de la comunicación, Economía, Sociología, Turismo"
13095;"Revista andaluza de antropología";"Asociación Andaluza de Antropología";1;0;4590;España;2174-6796;;;Antropología
13107;"Revista anthropologicas";"Universidade Federal de Pernambuco (UFPE)";0;;;Brasil;;1516-7372;1516-7372;Antropología
29225;"Revista Antropología y Derecho";"Centro de Estudios de Antropología y Derecho";1;;;Argentina;2953-3848;2953-3848;;"Antropología, Derecho y jurisprudencia, Filosofía, Derechos humanos"
28066;"Revista Arandú";"Grupo de Teoría Social, Estudios Descoloniales y Pensamiento Crítico (G-TEP).";1;;;Argentina;2683-6955;2683-6955;;"Antropología, Ciencias sociales y humanidades, Historia de la ciencia, Sociología, Trabajo social, Estudios de género"
13133;"Revista argentina de antropología biológica";"Universidad Nacional de La Plata";1;1;4604;Argentina;1853-6387;1514-7991;1514-7991;"Antropología, Biología"
24618;"Revista Articulando e Construindo Saberes";"Universidade Federal de Goiás (UFG)";1;;;Brasil;2525-8303;2525-4944;;"Antropología, Ciencias sociales y humanidades, Historia, Sociología"
20266;"Revista Aurora";"Universidade Estadual Paulista Júlio de Mesquita Filho (UNESP)";1;1;7947;Brasil;1982-8004;1982-8004;;"Antropología, Ciencia política y administración pública, Ciencias sociales y humanidades, Economía, Relaciones internacionales, Sociología"
